iLevel	iNeedExp	iMaxStamina	fStaminaRegenSec	fSpeedRate	fEvasionBonus	NONE
;== 계정 레벨 (260921) ==	구분자는 반드시 [탭]	0번 줄이 헤더다				
;iNeedExp : 이 레벨에서 다음 레벨까지 필요한 경험치. 0이면 만렙						
;iMaxStamina / fStaminaRegenSec : 하트 최대치 / 하트 하나가 차는 시간(초). 진입 비용은 MapInfo.csv의 iStaminaCost						
;fSpeedRate / fEvasionBonus : 그 레벨의 능력치 — 누적값으로 적는다(레벨마다 더하지 않는다). 속도는 곱하고 회피는 더한다						
;경험치는 스테이지가 끝날 때 MapInfo.csv의 iExpTotal × 진행도(달성한 웨이브 + 지금 웨이브의 점령률)만큼 얻는다(2-23)						
;---	다음까지	하트최대	하트회복(초)	속도배율	회피보너스	메모
1	100	30	300	1.0	0.0	
2	150	30	300	1.01	0.002	
3	200	30	300	1.02	0.004	
4	250	30	300	1.03	0.006	
5	300	30	300	1.04	0.008	
6	350	30	300	1.05	0.01	
7	400	30	300	1.06	0.012	
8	450	30	300	1.07	0.014	
9	500	30	300	1.08	0.016	
10	550	30	300	1.09	0.018	
11	600	30	300	1.1	0.02	
12	650	30	300	1.11	0.022	
13	700	30	300	1.12	0.024	
14	750	30	300	1.13	0.026	
15	800	30	300	1.14	0.028	
16	850	30	300	1.15	0.03	
17	900	30	300	1.16	0.032	
18	950	30	300	1.17	0.034	
19	1000	30	300	1.18	0.036	
20	1050	30	300	1.19	0.038	
21	1100	30	300	1.2	0.04	
22	1150	30	300	1.21	0.042	
23	1200	30	300	1.22	0.044	
24	1250	30	300	1.23	0.046	
25	1300	30	300	1.24	0.048	
26	1350	30	300	1.25	0.05	
27	1400	30	300	1.26	0.052	
28	1450	30	300	1.27	0.054	
29	1500	30	300	1.28	0.056	
30	0	30	300	1.29	0.058	만렙
