iMapID	strMapName	iGridWidth	iGridHeight	fCellSize	iBorderThick	iLife	fPlayerSpeed	iWaveCount	strShapeMask	strLayerTex	strWaveEnemy	strWaveClearRatio	strWaveTimeLimit	iCoinPerStar	iCoinPerCell	iCharacterID	iFieldItemOnWave	fFieldItemCool	fFieldItemDropRate	iStartRadius	iExpTotal	iStaminaCost	iPickReroll	iPickBanish	NONE
;== 맵 / 웨이브 테이블 ==	구분자는 반드시 [탭]. 0번 줄이 헤더이며 그 위에는 아무것도 못 넣는다														
;fPlayerSpeed : 플레이어 이동 속도(초당 셀)															
;strLayerTex : 겹쳐 깔리는 이미지 스택. | 로 구분하고 (iWaveCount + 1)장이 필요하다															
;              [0]=마스크(=1웨이브 가림막)  [1]=1웨이브 보상(=2웨이브 가림막)  [2]=2웨이브 보상  [3]=3웨이브 보상															
;              즉 N웨이브의 가림막은 [N-1], 다 걷어내면 [N]이 드러난다															
;strWaveEnemy : 웨이브끼리는 | 로, 웨이브 안의 몬스터는 , 로 구분. 표기는 [EnemyInfo의 ID]*[마리수]															
;strWaveClearRatio / strWaveTimeLimit : | 로 구분하며 항목 수가 iWaveCount와 같아야 한다															
;strShapeMask : 맵 모양(플레이 가능 영역) 텍스처. 밝은 픽셀=플레이 가능, 어두운 픽셀=벽. - 이면 직사각형 전체
;iCharacterID : 이 맵을 클리어하면 얻거나 강화하는 캐릭터(CharacterInfo.csv ID). 0이면 캐릭터를 안 주는 잔향/파밍 스테이지(노션 "캐릭터 시스템" 카드 4장, "카드 수집 시스템" 카드 5-9)
;iCoinPerCell : 점령 한 칸당 기본 코인. 실제 지급액은 여기에 CaptureRewardInfo.csv의 배율(한 번에 닫은 도형이 맵 전체에서 차지하는 비율 기준)을 곱한다(260918)
;iFieldItemOnWave / fFieldItemCool / fFieldItemDropRate : 맵 위 아이템(FieldItemInfo.csv)이 나오는 세 경로 — 웨이브 시작에 깔 개수 / 시간마다 하나(초, 0이면 안 나옴) / 몬스터 처치 시 드랍 확률(0~1) (260920)
;iBorderThick / iStartRadius : 시작 안전 지대. 0이면 외곽 테두리를 주지 않는다(외벽을 찍어도 점령되지 않는다). iStartRadius는 맵 한가운데 시작 섬의 반경(셀) — 5면 11x11칸 (2-3, 260920)
;iExpTotal / iStaminaCost : 이 스테이지를 끝냈을 때 얻는 계정 경험치의 최대치(진행도에 비례해 받는다) / 들어갈 때 쓰는 하트 (2-23, 260921)
;iPickReroll / iPickBanish : 3지선다 다시 뽑기 횟수 / 버리기 횟수 — 둘 다 판 전체에서 (260921)
;---	이름	가로셀	세로셀	셀크기	테두리	체력	이동속도	웨이브수	모양마스크	이미지스택	웨이브별몬스터	웨이브별점령률	웨이브별제한시간	별당코인	칸당코인	캐릭터ID	웨이브시작아이템	아이템주기	처치드랍확률	시작섬반경	총경험치	진입하트	다시뽑기	버리기	메모
1	프로토 스테이지	60	100	0.12	0	3	9	3	-	Tex_Mask_01|Tex_Reward_01|Tex_Reward_02|Tex_Reward_03	101*4,105*1|101*5,102*3|102*4,103*2,104*1	0.6|0.65|0.7	70|70|90	50	1	1	1	25	0.15	5	300	5	2	2	기본 맵 — 캐릭터 1(리네트)을 준다
