iProjectileID	strName	eShape	eMove	strTrait	fSpeed	fLifeTime	fMaxRange	fHitRange	fScale	iDamage	iDurability	strImpact	strParam	NONE
;== 투사체 테이블 ==	Project_GYM의 SkillInfo.csv(탄 관련 열)를 옮겨 왔다. 구분자는 반드시 [탭]
;eShape	POINT 원 / LASER 예고선→빔 / SWEEP 가로로 뻗는 띠 / BLAST 커지는 원
;eMove	NONE 제자리 / STRAIGHT 직진 / TRACE 대상 쪽으로 휨 / SPIRAL 나선 / BOOMERANG / ORBIT 쏜 쪽 주위 회전 / SYNC 쏜 쪽에 붙음
;strTrait	| 로 여러 개. REBOUND GRAVITY_PULL GRAVITY_PUSH KNOCKBACK_PULL KNOCKBACK_PUSH ENTER_STUN STAY_STUN HIT_STOP SCALE_OVER_TIME STAY_STOP WHITE_OUT RANDOM
;단위	fSpeed 초당 셀 / fMaxRange·fHitRange 셀 / iDurability 맞히거나 튕길 때마다 -1, -1이면 무한
;strImpact	ImpactInfo.csv의 ID를 | 로 여러 개. 맞은 대상에게 남는다
;strParam	KEY:VALUE를 | 로. 없으면 기본값. 전체 목록은 CLAUDE.md 2-15 참고
;---	이름	모양	이동	특성	탄속	수명	사거리	판정반경	크기	피해	내구	효과	조율값	메모
1	일반탄	POINT	STRAIGHT	-	6	4	12	0.7	1	1	1	-	-	기존 포수 탄과 같은 값
2	튕기는 탄	POINT	STRAIGHT	REBOUND	7	8	0	0.7	1	1	4	-	-	벽(맵 끝·점령지)에 3번 튕기고 4번째에 사라진다
3	레이저	LASER	NONE	-	0	2.2	30	0.5	1	1	-1	-	LASER_TELEGRAPH:0.8|LASER_THICKEN:0.25|LASER_FADE:0.3|LASER_WIDTH:1.2	예고선 0.8초 뒤 두꺼워지고, ACTIVE 구간에서만 맞는다
4	유도탄	POINT	TRACE	-	5	5	0	0.7	1	1	1	-	TRACE_TURN:1.6	초당 1.6라디안까지 휜다
5	나선탄	POINT	SPIRAL	-	0	5	0	0.6	1	1	1	-	SPIRAL_ROTATE:3|SPIRAL_EXPAND:3	쏜 자리에서 돌면서 퍼진다
6	부메랑	POINT	BOOMERANG	-	8	6	0	0.8	1.2	1	-1	-	BOOMERANG_OUT:0.6|BOOMERANG_STAY:0.4	나갔다 멈춘 뒤 쏜 쪽으로 돌아온다
7	충격파	SWEEP	NONE	-	0	1.2	0	0.6	1	1	-1	-	-	쏜 줄을 따라 맵 끝까지 뻗는다
8	폭발	BLAST	NONE	-	0	0.6	0	0.5	1	1	-1	-	BLAST_GROW:0.35|BLAST_SCALE:5	커지는 동안만 맞는다. 폭발 효과가 부른다
9	기절탄	POINT	STRAIGHT	ENTER_STUN|WHITE_OUT	6	4	12	0.7	1	1	1	-	STUN_TIME:0.8	맞으면 0.8초 못 움직인다
10	넉백탄	POINT	STRAIGHT	KNOCKBACK_PUSH|HIT_STOP	9	3	0	0.7	1	1	-1	-	KNOCKBACK_DISTANCE:3|KNOCKBACK_TIME:0.2|HITSTOP_TIME:0.08	관통하면서 몬스터를 밀어낸다(플레이어 탄 예시)
11	중력장	POINT	NONE	GRAVITY_PULL|STAY_STOP	0	3	0	2.5	1	0	-1	-	GRAVITY_POWER:2.5|STOP_SLOW:0.5	제자리 장판. 피해 없이 끌어당기고 느리게 한다
12	점점 커지는 탄	POINT	STRAIGHT	SCALE_OVER_TIME	3	5	0	0.6	1	1	1	-	GROW_SCALE:3|GROW_TIME:2	2초에 걸쳐 3배로 커진다
13	폭발탄	POINT	STRAIGHT	-	6	4	12	0.7	1	1	1	3	-	맞은 자리에 폭발(8)을 남긴다
14	회전 호위탄	POINT	ORBIT	-	0	6	0	0.6	1	1	-1	-	ORBIT_RADIUS:2.5|ORBIT_SPEED:150	쏜 쪽 주위를 돈다
15	무작위 특성탄	POINT	STRAIGHT	RANDOM|ENTER_STUN|KNOCKBACK_PUSH|STAY_STOP	6	4	12	0.7	1	1	1	-	STUN_TIME:0.5|KNOCKBACK_DISTANCE:2|STOP_SLOW:0.5	셋 중 하나만 남긴다
16	블랙홀탄	POINT	TRACE	GRAVITY_PULL	4	4	0	1.2	1.3	1	-1	-	TRACE_TURN:2.5|GRAVITY_POWER:3	각성: 마법탄+자석. 관통하며 닿은 몬스터를 끌어당긴다
17	십자 레이저	LASER	SYNC	-	0	1.6	40	0.5	1	1	-1	-	LASER_TELEGRAPH:0.25|LASER_THICKEN:0.1|LASER_FADE:0.25|LASER_WIDTH:1.6	각성: 레이저+신발. 쏜 쪽 몸에 붙어 뻗는다
18	영혼 낫	POINT	BOOMERANG	KNOCKBACK_PUSH	6	6	0	1.2	2	1	-1	4	BOOMERANG_OUT:0.7|BOOMERANG_STAY:0.3|KNOCKBACK_DISTANCE:1.5	각성: 부메랑+영혼 수집가. 맞으면 도트(4)
19	끝없는 튕김탄	POINT	STRAIGHT	REBOUND	8	10	0	0.7	1.2	1	12	-	-	각성: 튕기는 탄+월보. 11번 튕기고 12번째에 사라진다
20	회전탄	POINT	ORBIT	-	0	0	0	0.5	1	1	-1	-	ORBIT_RADIUS:1.5|ORBIT_SPEED:180|CANCEL_SHOT:1	런 스킬 회전탄. 수명 0 = 스킬이 거둘 때까지. 닿은 적탄을 지운다
21	광란 회전탄	POINT	ORBIT	-	0	0	0	0.5	1	1	-1	-	ORBIT_RADIUS:1.5|ORBIT_SPEED:360|CANCEL_SHOT:1	각성 광란의 칼바람 — 분노가 터진 동안 두 배로 빨리 돈다
